Country,Political province/region,County,Mining area,Mining site,Add. information on mine,Latitude,Longitude,Location precision,Tectonic/geolog. super unit,Tectonic/geolog. unit,Tectonic/geolog. subunit,Deposit type,Mineralisation style,Metals,Minerals,Sample number,Geol. period,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/207Pb,208Pb/207Pb,204Pb/206Pb,207Pb/206Pb,208Pb/206Pb,Model_Age_SK75,mu_SK75,kappa_SK75,Model_Age_CR75,mu_CR75,kappa_CR75,Model_Age_AJ84,mu_AJ84,kappa_AJ84,Model_Age_ADB12,mu_ADB12,kappa_ADB12,Instrument used,year,2s_206Pb/204Pb,2s_207Pb/204Pb,2s_208Pb/204Pb,2s_207Pb/206Pb,2s_208Pb/206Pb,Archaeologically Relevant? (Y/N),Reason_archaeologically_relevant,doi,Reference,Additional references,Note
Argentina,La Rioja,,,La Helvecia,,-29.5338888888889,-68.8222222222222,Exact/neighbouring (coordinates from Zentilli et al. 1988),,,,,strata bound,Pb; Zn,galena,284,,18.084,15.585,37.975,1.16034648700674,2.43663779274944,0.055297500552975,0.861811546118116,2.09992258349923,373.822,9.687,3.821,432.456,10.511,3.862,414.785,9.627,3.855,420.49,9.644,3.877,TIMS,1982,,,,,,n,,,"Brodtkorb, M. K., and Brodtkorb, A., 1982, Datos isotópicos de plomo de la mineralización de la Mina La Helvecia, prov. de La Rioja, Revista de la Asociación Geológica Argentina, 37(3), 358–61.",,
Argentina,La Rioja,,,La Helvecia,,-29.5338888888889,-68.8222222222222,Exact/neighbouring (coordinates from Zentilli et al. 1988),,,,,strata bound,Pb; Zn,galena,287,,18.083,15.585,37.987,1.16028232274623,2.43740776387552,0.0553005585356412,0.861859204777968,2.1007023170934,374.577,9.687,3.829,433.027,10.511,3.862,415.534,9.628,3.863,421.191,9.644,3.883,TIMS,1982,,,,,,n,,,"Brodtkorb, M. K., and Brodtkorb, A., 1982, Datos isotópicos de plomo de la mineralización de la Mina La Helvecia, prov. de La Rioja, Revista de la Asociación Geológica Argentina, 37(3), 358–61.",,
Argentina,La Rioja,,,La Helvecia,,-29.5338888888889,-68.8222222222222,Exact/neighbouring (coordinates from Zentilli et al. 1988),,,,,strata bound,Pb; Zn,galena,424,,17.967,15.551,37.731,1.15535978393672,2.42627483763102,0.0556575944787666,0.8655312517393,2.10001669727834,393.623,9.567,3.75,500.451,10.475,3.865,439.19,9.521,3.786,463.455,9.591,3.822,TIMS,1982,,,,,,n,,,"Brodtkorb, M. K., and Brodtkorb, A., 1982, Datos isotópicos de plomo de la mineralización de la Mina La Helvecia, prov. de La Rioja, Revista de la Asociación Geológica Argentina, 37(3), 358–61.",,
Argentina,Jujuy,,,El Aguilar,,-23.3333333333333,-65.8333333333333,Exact (coordinates from publication),,Formación Saladillo,,SEDEX,,Zn; Pb; Ag,galena,1065,Ordovician (host sedimentary rock),18.034,15.625,38.007,1.154176,2.432448,0.0554508151269824,0.8664189863591,2.10751913053122,490.276,9.884,3.888,459.462,10.497,3.863,525.049,9.804,3.921,500.949,9.731,3.929,TIMS,1988,,,,,,y,"Becerra, M. F. 2014. “Para labrar y poblar” Prácticas minero-metalúrgicas en la Puna de Jujuy durante el período colonial (siglos XVII y XVIII). Doctoral Thesis. Facultad de Filosofía y Letras, Universidad de Buenos Aires, Argentina.",10.2113/gsecongeo.83.4.843,"Puig, A., 1988, Geologic and metallogenic significance of the isotopic composition of lead in galenas of the Chilean Andes, Economic Geology, 83(4), 843–58.",https://www.mineriajujuy.gob.ar/files_site/cuadro-resumen-de-indicios-y-ocurrencias-minerales-de-la-provincia-de-jujuy.pdf,
Argentina,La Rioja,,,La Helvecia,,-29.5338888888889,-68.8222222222222,Exact/neighbouring (coordinates from Zentilli et al. 1988),,,,,syngenetic?,Pb; Zn,galena,1964,Ordovician-Carbonaceous (host metasedimentary rock),18.086,15.594,38.008,1.1598050532256,2.4373476978325,0.0552913856021232,0.862213867079509,2.1015149839655,390.454,9.727,3.842,430.973,10.512,3.862,430.05,9.663,3.875,429.478,9.662,3.893,TIMS,1988,,,,,,n,,10.2113/gsecongeo.83.4.843,"Puig, A., 1988, Geologic and metallogenic significance of the isotopic composition of lead in galenas of the Chilean Andes, Economic Geology, 83(4), 843–58.",,
Argentina,Neuquén Province [Neuquén],,,S.E. Loncopue,vein Plomo,-38.0660472222222,-70.5571333333333,Placeholder coordinates,,,,,strata bound,Pb,galena,4877,Lower Cretaceous?,18.464,15.603,38.376,1.18336217394091,2.45952701403576,0.054159445407279,0.845049826689775,2.07842287694974,122.891,9.671,3.793,211.88,10.63,3.85,163.004,9.61,3.826,172.502,9.635,3.853,TIMS,1988,,,,,,n,,10.2113/gsecongeo.83.4.843,"Puig, A., 1988, Geologic and metallogenic significance of the isotopic composition of lead in galenas of the Chilean Andes, Economic Geology, 83(4), 843–58.",,
Argentina,Salta,,,Cobres,"small abandoned mine, prospect or mineral occurrence",-23.6485,-66.2868888888889,Exact (coordinates from publication),,,,,Veins,Cu,cuprite; malachite,06ML03A,Ordovician (host rock),18.027,15.628,38.081,1.15350652674686,2.4367161504991,0.0554723470350031,0.866921839463028,2.11244244743995,501.231,9.9,3.937,463.331,10.495,3.863,535.546,9.819,3.968,509.156,9.738,3.968,TIMS,2016,,,,,,y,"Cruz, P., Angiorama, C., Becerra, M. F., Braticevic, S., Comunidad Aborigen Aborigen Atacama de Cobres, 2021, La mina de Cobres (puna de Salta, Argentina) y la producción de metales en baja escala durante los periodos prehispánico y colonial. Nuevo Mundo- Mundos Nuevos, Debates 2021, https://doi.org/10.4000/nuevomundo.83406",10.1007/s10816-014-9225-8,"Macfarlane, A. W., and Lechtman, H. N., 2016, Andean Ores, Bronze Artifacts, and Lead Isotopes: Constraints on Metal Sources in Their Geological Context, Journal of Archaeological Method and Theory, 23(1), 1–72.",,
Argentina,Salta,,,Cobres,"small abandoned mine, prospect or mineral occurrence",-23.6485,-66.2868888888889,Exact (coordinates from publication),,,,,Veins,Cu,malachite,06ML03H,Ordovician (host rock),18.005,15.64,38.037,1.15121483375959,2.43203324808184,0.0555401277422938,0.868647597889475,2.11257983893363,540.339,9.963,3.931,475.375,10.488,3.864,572.883,9.875,3.963,537.713,9.766,3.962,TIMS,2016,,,,,,y,"Cruz, P., Angiorama, C., Becerra, M. F., Braticevic, S., Comunidad Aborigen Aborigen Atacama de Cobres, 2021, La mina de Cobres (puna de Salta, Argentina) y la producción de metales en baja escala durante los periodos prehispánico y colonial. Nuevo Mundo- Mundos Nuevos, Debates 2021, https://doi.org/10.4000/nuevomundo.83406",10.1007/s10816-014-9225-8,"Macfarlane, A. W., and Lechtman, H. N., 2016, Andean Ores, Bronze Artifacts, and Lead Isotopes: Constraints on Metal Sources in Their Geological Context, Journal of Archaeological Method and Theory, 23(1), 1–72.",,
Argentina,Salta,,,Cobres,"small abandoned mine, prospect or mineral occurrence",-23.6485,-66.2868888888889,Exact (coordinates from publication),,,,,Veins,Cu,malachite; cuprite,06ML03I,Ordovician (host rock),18.008,15.618,38.034,1.15302855679344,2.43526699961583,0.0555308751665926,0.867281208351844,2.11206130608618,495.947,9.86,3.92,474.524,10.489,3.864,531.598,9.783,3.952,511.06,9.721,3.955,TIMS,2016,,,,,,y,"Cruz, P., Angiorama, C., Becerra, M. F., Braticevic, S., Comunidad Aborigen Aborigen Atacama de Cobres, 2021, La mina de Cobres (puna de Salta, Argentina) y la producción de metales en baja escala durante los periodos prehispánico y colonial. Nuevo Mundo- Mundos Nuevos, Debates 2021, https://doi.org/10.4000/nuevomundo.83406",10.1007/s10816-014-9225-8,"Macfarlane, A. W., and Lechtman, H. N., 2016, Andean Ores, Bronze Artifacts, and Lead Isotopes: Constraints on Metal Sources in Their Geological Context, Journal of Archaeological Method and Theory, 23(1), 1–72.",,
Argentina,Salta,,,Cobres,"small abandoned mine, prospect or mineral occurrence",-23.6485,-66.2868888888889,Exact (coordinates from publication),,,,,Veins,Cu,cuprite; malachite,06ML03K,Ordovician (host rock),17.99,15.622,38.001,1.15158110357189,2.43253104596082,0.0555864369093941,0.868371317398555,2.11234018899389,516.968,9.885,3.915,484.594,10.483,3.864,551.962,9.805,3.947,527.98,9.731,3.95,TIMS,2016,,,,,,y,"Cruz, P., Angiorama, C., Becerra, M. F., Braticevic, S., Comunidad Aborigen Aborigen Atacama de Cobres, 2021, La mina de Cobres (puna de Salta, Argentina) y la producción de metales en baja escala durante los periodos prehispánico y colonial. Nuevo Mundo- Mundos Nuevos, Debates 2021, https://doi.org/10.4000/nuevomundo.83406",10.1007/s10816-014-9225-8,"Macfarlane, A. W., and Lechtman, H. N., 2016, Andean Ores, Bronze Artifacts, and Lead Isotopes: Constraints on Metal Sources in Their Geological Context, Journal of Archaeological Method and Theory, 23(1), 1–72.",,
